0.10680003,-1.688241,8
-0.3328423,0.32756922,13
1.019265,0.73073125,7
0.04043861,-0.8819169,11
-0.7144186,0.73073125,9
-0.29136664,0.73073125,12
-0.38261315,0.73073125,1
0.4966713,-0.8819169,5
3.0515733,-2.4945674,4
-0.191825,0.73073125,12
3.3087225,-1.688241,6
1.4754972,-1.285079,0
1.3427755,-1.285079,0
-0.33284238,0.73073125,12
-0.48215467,0.73073125,1
-0.10887371,-1.285079,14
-0.5236305,0.73073125,1
-0.4655646,0.73073125,1
-0.06739786,0.73073125,12
-0.5319256,0.73073125,1
-0.4904499,0.73073125,1
0.34735876,0.32756922,3
-0.46556452,0.73073125,1
-0.5485158,0.73073125,1
-0.52363044,-0.8819169,10
-0.8056652,0.73073125,9
-0.51533526,-1.285079,2
-0.61487705,0.73073125,1
-0.77248466,0.73073125,9
-0.5485158,-0.8819169,10
-0.70612353,0.73073125,9
-0.7724846,0.73073125,9
